,open,high,low,close,volume
2009-05-20,30.25,34.8,29.83,33.14,194076.0
2009-05-21,31.82,34.63,31.63,32.73,241716.0
2009-05-22,32.57,33.25,30.69,32.17,230964.0
2009-05-25,32.35,35.6,32.35,34.73,186048.0
2009-05-26,34.84,35.79,32.57,32.81,72108.0
2009-05-27,34.33,34.97,33.31,33.58,42600.0
2009-05-28,33.55,34.11,32.18,32.74,70044.0
2009-05-29,33.34,35.71,33.34,34.46,159828.0
2009-06-01,34.97,35.83,33.9,34.23,137100.0
2009-06-02,34.76,35.31,33.9,34.26,47016.0
2009-06-03,34.11,36.84,34.0,36.01,356568.0
2009-06-04,37.11,43.21,36.47,41.66,1476492.0
2009-06-05,42.43,42.91,39.0,39.86,970596.0
2009-06-08,41.0,41.57,37.76,38.07,358248.0
2009-06-09,36.51,39.22,35.7,38.63,249708.0
2009-06-10,39.27,40.25,37.76,38.37,171456.0
2009-06-11,39.04,39.04,35.62,37.7,195732.0
2009-06-12,40.75,41.47,40.12,41.47,295284.0
2009-06-15,44.62,45.62,41.62,43.75,1533816.0
2009-06-16,43.76,45.05,42.56,44.53,384564.0
2009-06-17,44.92,44.92,42.05,42.77,215436.0
2009-06-18,42.26,42.78,38.83,39.92,275592.0
2009-06-19,41.58,41.58,39.9,40.79,78444.0
2009-06-22,41.19,41.19,39.52,39.9,26808.0
2009-06-23,39.26,43.89,38.4,43.58,249084.0
2009-06-24,44.32,45.44,42.48,43.1,650292.0
2009-06-25,42.95,43.77,40.93,41.28,85308.0
2009-06-26,41.66,43.12,41.24,41.77,205296.0
2009-06-29,42.44,45.22,41.41,43.64,259992.0
2009-06-30,44.02,47.37,43.98,45.24,1017840.0
2009-07-01,45.87,45.87,42.4,42.7,208320.0
2009-07-02,43.68,44.84,42.52,43.38,177648.0
2009-07-03,43.42,44.5,42.1,42.69,187452.0
2009-07-06,44.02,44.88,38.63,39.55,214176.0
2009-07-07,39.91,41.28,38.27,38.73,73140.0
2009-07-08,37.42,40.33,36.05,37.82,295536.0
2009-07-09,38.57,40.76,37.7,39.29,207072.0
2009-07-10,40.33,40.98,38.67,39.48,146976.0
2009-07-13,39.48,39.52,36.91,37.43,103596.0
2009-07-14,39.05,41.62,38.24,40.59,205716.0
2009-07-15,40.16,42.65,40.16,42.08,173172.0
2009-07-16,42.91,43.84,41.66,42.19,146952.0
2009-07-17,42.91,46.34,42.14,44.71,292200.0
2009-07-20,47.19,47.19,44.62,46.02,597516.0
2009-07-21,45.48,45.48,43.13,44.51,137952.0
2009-07-22,44.24,45.44,43.98,44.4,129900.0
2009-07-23,44.2,44.97,42.78,42.97,176544.0
2009-07-24,43.55,44.15,42.92,43.98,91548.0
2009-07-27,44.19,45.27,44.19,45.09,212172.0
2009-07-28,45.05,48.23,44.03,45.47,313212.0
2009-07-29,45.05,47.24,43.9,45.36,211932.0
2009-07-30,45.17,45.25,43.98,44.18,1133232.0
2009-07-31,44.62,45.56,44.42,44.87,136032.0
2009-08-03,44.84,45.01,43.6,43.85,69360.0
2009-08-04,44.2,45.91,44.02,44.71,227976.0
2009-08-05,44.97,45.48,44.37,44.71,68040.0
2009-08-06,45.48,45.91,44.02,45.53,243540.0
2009-08-07,45.27,46.34,43.55,43.99,125652.0
2009-08-10,42.9,45.05,42.9,44.37,89424.0
2009-08-11,44.22,44.45,43.64,43.96,18720.0
2009-08-12,43.08,44.07,42.96,43.7,27696.0
2009-08-13,43.77,45.05,43.36,43.56,231336.0
2009-08-14,43.55,44.41,42.91,43.24,132864.0
2009-08-17,42.95,43.38,42.52,42.91,106812.0
2009-08-18,42.58,43.32,42.52,42.89,42420.0
2009-08-19,43.12,43.34,42.05,42.5,55140.0
2009-08-20,42.91,43.34,42.91,43.0,30516.0
2009-08-21,42.56,44.58,42.56,44.11,82092.0
2009-08-24,44.45,45.27,44.02,44.19,148908.0
2009-08-25,44.24,44.48,44.02,44.24,42828.0
2009-08-26,43.12,47.41,43.12,46.53,469608.0
2009-08-27,47.16,48.19,46.13,46.34,159828.0
2009-08-28,45.98,47.2,45.1,45.51,139536.0
2009-08-31,45.48,46.13,44.76,45.08,73644.0
2009-09-01,44.67,46.34,43.77,44.48,97344.0
2009-09-02,44.75,44.75,43.77,43.86,58968.0
2009-09-03,44.2,44.62,42.48,42.92,90924.0
2009-09-04,43.25,45.48,43.12,44.7,299460.0
2009-09-07,46.17,47.07,45.49,45.73,97512.0
2009-09-08,46.13,47.41,45.91,46.81,174012.0
2009-09-09,54.62,55.53,51.28,54.96,135732.0
2009-09-10,52.99,55.01,52.99,53.69,64884.0
2009-09-11,54.26,54.26,51.73,52.01,92448.0
2009-09-14,53.1,53.71,51.73,52.95,31140.0
2009-09-15,53.19,53.51,52.14,52.38,60492.0
2009-09-16,52.49,53.07,51.99,52.36,53484.0
2009-09-17,54.47,54.47,52.04,53.08,48840.0
2009-09-18,52.14,53.51,52.14,52.72,21420.0
2009-09-22,53.1,59.04,53.05,57.55,656064.0
2009-09-23,58.27,58.98,56.04,56.52,135720.0
2009-09-24,55.79,61.32,53.36,58.71,841500.0
2009-09-25,58.7,59.44,56.91,57.71,162000.0
2009-09-29,59.59,60.34,58.83,59.27,185772.0
2009-09-30,60.05,60.26,58.22,59.61,217716.0
2009-10-01,60.25,60.25,58.83,59.17,58272.0
2009-10-05,57.57,59.19,57.54,58.42,63660.0
2009-10-06,58.83,59.14,56.25,57.02,103368.0
2009-10-07,57.16,58.22,56.56,56.7,55224.0
2009-10-08,57.77,60.2,57.31,58.33,241788.0
2009-10-09,59.8,59.85,58.33,59.42,145056.0
2009-10-12,59.34,60.74,58.58,59.79,130716.0
2009-10-14,60.3,60.61,59.34,59.47,67740.0
2009-10-15,59.75,60.48,59.24,60.04,62820.0
2009-10-16,60.35,60.86,59.35,60.36,48384.0
2009-10-20,61.87,63.4,61.62,62.37,148608.0
2009-10-21,62.38,63.19,61.37,62.53,112608.0
2009-10-22,62.89,62.89,59.15,59.94,148968.0
2009-10-23,60.86,61.88,59.6,60.92,131568.0
2009-10-26,61.27,61.88,58.38,58.89,304800.0
2009-10-27,59.59,61.72,57.82,58.24,138480.0
2009-10-28,58.83,59.24,57.11,58.64,57444.0
